Start date:;01/17/2023;Start time:;08:04:00.690
Sample interval:;1.001.000;;
Reading #;Reading;;
1;5,56E+02;;
2;5,16E+02;;
3;5,75E+02;;
4;5,40E+02;;
5;5,38E+02;;
6;5,01E+02;;
7;4,97E+02;;
8;5,24E+02;;
9;3,73E+02;;
10;4,14E+02;;
11;3,45E+02;;
12;3,50E+02;;
13;3,03E+02;;
14;2,63E+02;;
15;3,00E+02;;
16;8,66E+07;0,866;
17;8,66E+07;0,866;
18;8,66E+07;0,866;
19;8,66E+07;0,866;
20;8,66E+07;0,866;
21;8,65E+07;0,865;
22;8,65E+07;0,865;
23;8,65E+07;0,865;
24;8,65E+07;0,865;
25;8,65E+07;0,865;
26;8,65E+07;0,865;
27;8,65E+07;0,865;
28;8,65E+07;0,865;
29;8,65E+07;0,865;
30;8,65E+07;0,865;
31;8,65E+07;0,865;
32;8,65E+07;0,865;
33;8,65E+07;0,865;
34;8,65E+07;0,865;
35;8,64E+07;0,864;
36;8,64E+07;0,864;
37;8,64E+07;0,864;
38;8,64E+07;0,864;
39;8,64E+07;0,864;
40;8,65E+07;0,865;
41;8,65E+07;0,865;
42;8,65E+07;0,865;
43;8,65E+07;0,865;
44;8,65E+07;0,865;
45;8,66E+07;0,866;
46;8,65E+07;0,865;
47;8,65E+07;0,865;
48;8,65E+07;0,865;
49;8,65E+07;0,865;
50;8,65E+07;0,865;
51;8,64E+07;0,864;
52;8,64E+07;0,864;
53;8,64E+07;0,864;
54;8,64E+07;0,864;
55;8,64E+07;0,864;
56;8,64E+07;0,864;
57;8,64E+07;0,864;
58;8,64E+07;0,864;
59;8,64E+07;0,864;
60;8,64E+07;0,864;
61;8,64E+07;0,864;
62;8,64E+07;0,864;
63;8,64E+07;0,864;
64;8,64E+07;0,864;
65;8,64E+07;0,864;
66;8,64E+07;0,864;
67;8,64E+07;0,864;
68;8,64E+07;0,864;
69;8,64E+07;0,864;
70;8,64E+07;0,864;
71;8,64E+07;0,864;
72;8,64E+07;0,864;
73;8,63E+07;0,863;
74;8,63E+07;0,863;
75;8,63E+07;0,863;
76;8,63E+07;0,863;
77;8,63E+07;0,863;
78;8,63E+07;0,863;
79;8,63E+07;0,863;
80;8,63E+07;0,863;
81;8,63E+07;0,863;
82;8,63E+07;0,863;
83;8,63E+07;0,863;
84;8,63E+07;0,863;
85;8,63E+07;0,863;
86;8,63E+07;0,863;
87;8,63E+07;0,863;
88;8,63E+07;0,863;
89;8,63E+07;0,863;
90;8,63E+07;0,863;
91;8,63E+07;0,863;
92;8,63E+07;0,863;
93;8,63E+07;0,863;
94;8,63E+07;0,863;
95;8,63E+07;0,863;
96;8,63E+07;0,863;
97;8,63E+07;0,863;
98;8,63E+07;0,863;
99;8,63E+07;0,863;
100;8,63E+07;0,863;
101;8,63E+07;0,863;
102;8,62E+07;0,862;
103;8,62E+07;0,862;
104;8,62E+07;0,862;
105;8,62E+07;0,862;
106;8,62E+07;0,862;
107;8,62E+07;0,862;
108;8,62E+07;0,862;
109;8,62E+07;0,862;
110;8,62E+07;0,862;
111;8,62E+07;0,862;
112;8,62E+07;0,862;
113;8,62E+07;0,862;
114;8,62E+07;0,862;
115;8,62E+07;0,862;
116;8,62E+07;0,862;
117;8,62E+07;0,862;
118;8,62E+07;0,862;
119;8,62E+07;0,862;
120;8,62E+07;0,862;
121;8,62E+07;0,862;
122;8,62E+07;0,862;
123;8,62E+07;0,862;
124;8,62E+07;0,862;
125;8,62E+07;0,862;
126;8,62E+07;0,862;
127;8,62E+07;0,862;
128;8,62E+07;0,862;
129;8,62E+07;0,862;
130;8,62E+07;0,862;
131;8,62E+07;0,862;
132;8,62E+07;0,862;
133;8,62E+07;0,862;
134;8,61E+07;0,861;
135;8,61E+07;0,861;
136;8,61E+07;0,861;
137;8,61E+07;0,861;
138;8,61E+07;0,861;
139;8,61E+07;0,861;
140;8,61E+07;0,861;
141;8,61E+07;0,861;
142;8,61E+07;0,861;
143;8,61E+07;0,861;
144;8,61E+07;0,861;
145;8,61E+07;0,861;
146;8,61E+07;0,861;
147;8,61E+07;0,861;
148;8,61E+07;0,861;
149;8,61E+07;0,861;
150;8,61E+07;0,861;
151;8,61E+07;0,861;
152;8,61E+07;0,861;
153;8,61E+07;0,861;
154;8,61E+07;0,861;
155;8,61E+07;0,861;
156;8,61E+07;0,861;
157;8,61E+07;0,861;
158;8,61E+07;0,861;
159;8,61E+07;0,861;
160;8,61E+07;0,861;
161;8,61E+07;0,861;
162;8,61E+07;0,861;
163;8,61E+07;0,861;
164;8,61E+07;0,861;
165;8,61E+07;0,861;
166;8,61E+07;0,861;
167;8,61E+07;0,861;
168;8,61E+07;0,861;
169;8,61E+07;0,861;
170;8,61E+07;0,861;
171;8,60E+07;0,860;
172;8,60E+07;0,860;
173;8,60E+07;0,860;
174;8,60E+07;0,860;
175;8,60E+07;0,860;
176;8,60E+07;0,860;
177;8,60E+07;0,860;
178;8,60E+07;0,860;
179;8,60E+07;0,860;
180;8,60E+07;0,860;
181;8,60E+07;0,860;
182;8,60E+07;0,860;
183;8,60E+07;0,860;
184;8,60E+07;0,860;
185;8,60E+07;0,860;
186;8,60E+07;0,860;
187;8,60E+07;0,860;
188;8,60E+07;0,860;
189;8,60E+07;0,860;
190;8,60E+07;0,860;
191;8,60E+07;0,860;
192;8,60E+07;0,860;
193;8,60E+07;0,860;
194;8,60E+07;0,860;
195;8,60E+07;0,860;
196;8,60E+07;0,860;
197;8,60E+07;0,860;
198;8,60E+07;0,860;
199;8,60E+07;0,860;
200;8,60E+07;0,860;
201;8,60E+07;0,860;
202;8,60E+07;0,860;
203;8,60E+07;0,860;
204;8,60E+07;0,860;
205;8,60E+07;0,860;
206;8,60E+07;0,860;
207;8,60E+07;0,860;
208;8,59E+07;0,859;
209;8,60E+07;0,860;
210;8,59E+07;0,859;
211;8,59E+07;0,859;
212;8,59E+07;0,859;
213;8,59E+07;0,859;
214;8,59E+07;0,859;
215;8,59E+07;0,859;
216;8,59E+07;0,859;
217;8,59E+07;0,859;
218;8,59E+07;0,859;
219;8,59E+07;0,859;
220;8,59E+07;0,859;
221;8,59E+07;0,859;
222;8,59E+07;0,859;
223;8,59E+07;0,859;
224;8,59E+07;0,859;
225;8,59E+07;0,859;
226;8,59E+07;0,859;
227;8,59E+07;0,859;
228;8,59E+07;0,859;
229;8,59E+07;0,859;
230;8,59E+07;0,859;
231;8,59E+07;0,859;
232;8,59E+07;0,859;
233;8,59E+07;0,859;
234;8,59E+07;0,859;
235;8,59E+07;0,859;
236;8,59E+07;0,859;
237;8,59E+07;0,859;
238;8,59E+07;0,859;
239;8,59E+07;0,859;
240;8,59E+07;0,859;
241;8,59E+07;0,859;
242;8,59E+07;0,859;
243;8,59E+07;0,859;
244;8,59E+07;0,859;
245;8,59E+07;0,859;
246;8,59E+07;0,859;
247;8,59E+07;0,859;
248;8,58E+07;0,858;
249;8,59E+07;0,859;
250;8,59E+07;0,859;
251;8,58E+07;0,858;
252;8,58E+07;0,858;
253;8,58E+07;0,858;
254;8,58E+07;0,858;
255;8,58E+07;0,858;
256;8,58E+07;0,858;
257;8,58E+07;0,858;
258;8,58E+07;0,858;
259;8,58E+07;0,858;
260;8,58E+07;0,858;
261;8,58E+07;0,858;
262;8,58E+07;0,858;
263;8,58E+07;0,858;
264;8,58E+07;0,858;
265;8,58E+07;0,858;
266;8,58E+07;0,858;
267;8,58E+07;0,858;
268;8,58E+07;0,858;
269;8,58E+07;0,858;
270;8,58E+07;0,858;
271;8,58E+07;0,858;
272;8,58E+07;0,858;
273;8,58E+07;0,858;
274;8,58E+07;0,858;
275;8,58E+07;0,858;
276;8,58E+07;0,858;
277;8,58E+07;0,858;
278;8,58E+07;0,858;
279;8,58E+07;0,858;
280;8,58E+07;0,858;
281;8,58E+07;0,858;
282;8,58E+07;0,858;
283;8,58E+07;0,858;
284;8,58E+07;0,858;
285;8,58E+07;0,858;
286;8,58E+07;0,858;
287;8,58E+07;0,858;
288;8,58E+07;0,858;
289;8,58E+07;0,858;
290;8,58E+07;0,858;
291;8,58E+07;0,858;
292;8,58E+07;0,858;
293;8,58E+07;0,858;
294;8,58E+07;0,858;
295;8,57E+07;0,857;
296;8,57E+07;0,857;
297;8,57E+07;0,857;
298;8,57E+07;0,857;
299;8,57E+07;0,857;
300;8,57E+07;0,857;
301;8,57E+07;0,857;
302;8,57E+07;0,857;
303;8,57E+07;0,857;
304;8,57E+07;0,857;
305;8,57E+07;0,857;
306;8,57E+07;0,857;
307;8,57E+07;0,857;
308;8,57E+07;0,857;
309;8,57E+07;0,857;
310;8,57E+07;0,857;
311;8,57E+07;0,857;
312;8,57E+07;0,857;
313;8,57E+07;0,857;
314;8,57E+07;0,857;
315;8,57E+07;0,857;
316;8,57E+07;0,857;
317;8,57E+07;0,857;
318;8,57E+07;0,857;
319;8,57E+07;0,857;
320;8,57E+07;0,857;
321;8,57E+07;0,857;
322;8,57E+07;0,857;
323;8,57E+07;0,857;
324;8,57E+07;0,857;
325;8,57E+07;0,857;
326;8,57E+07;0,857;
327;8,57E+07;0,857;
328;8,57E+07;0,857;
329;8,57E+07;0,857;
330;8,57E+07;0,857;
331;8,57E+07;0,857;
332;8,57E+07;0,857;
333;8,57E+07;0,857;
334;8,57E+07;0,857;
335;8,57E+07;0,857;
336;8,57E+07;0,857;
337;8,57E+07;0,857;
338;8,57E+07;0,857;
339;8,57E+07;0,857;
340;8,57E+07;0,857;
341;8,57E+07;0,857;
342;8,57E+07;0,857;
343;8,56E+07;0,856;
344;8,56E+07;0,856;
345;8,56E+07;0,856;
346;8,56E+07;0,856;
347;8,56E+07;0,856;
348;8,56E+07;0,856;
349;8,56E+07;0,856;
350;8,56E+07;0,856;
351;8,56E+07;0,856;
352;8,56E+07;0,856;
353;8,56E+07;0,856;
354;8,56E+07;0,856;
355;8,56E+07;0,856;
356;8,56E+07;0,856;
357;8,56E+07;0,856;
358;8,56E+07;0,856;
359;8,56E+07;0,856;
360;8,56E+07;0,856;
361;8,56E+07;0,856;
362;8,56E+07;0,856;
363;8,56E+07;0,856;
364;8,56E+07;0,856;
365;8,56E+07;0,856;
366;8,56E+07;0,856;
367;8,56E+07;0,856;
368;8,56E+07;0,856;
369;8,56E+07;0,856;
370;8,56E+07;0,856;
371;8,56E+07;0,856;
372;8,56E+07;0,856;
373;8,56E+07;0,856;
374;8,56E+07;0,856;
375;8,56E+07;0,856;
376;8,56E+07;0,856;
377;8,56E+07;0,856;
378;8,56E+07;0,856;
379;8,56E+07;0,856;
380;8,56E+07;0,856;
381;8,56E+07;0,856;
382;8,56E+07;0,856;
383;8,56E+07;0,856;
384;8,56E+07;0,856;
385;8,56E+07;0,856;
386;8,56E+07;0,856;
387;8,56E+07;0,856;
388;8,56E+07;0,856;
389;8,56E+07;0,856;
390;8,56E+07;0,856;
391;8,56E+07;0,856;
392;8,56E+07;0,856;
393;8,56E+07;0,856;
394;8,56E+07;0,856;
395;8,56E+07;0,856;
396;8,55E+07;0,855;
397;8,55E+07;0,855;
398;8,55E+07;0,855;
399;8,55E+07;0,855;
400;8,55E+07;0,855;
